epoch,train/box_loss,train/cls_loss,train/dfl_loss,val/box_loss,val/cls_loss,val/dfl_loss
1,0.76332,4.20399,1.06648,0.62887,3.72821,0.98552
2,0.72706,2.99333,1.03065,0.64761,2.27285,0.98293
3,0.69439,1.78318,1.01597,0.68672,1.68795,1.03277
4,0.65208,1.31789,0.9849,0.60561,1.09105,0.97373
5,0.63555,1.12009,0.97411,0.57941,0.88238,0.9626
6,0.60418,1.00531,0.95916,0.56961,0.85518,0.93795
7,0.58922,0.93335,0.94838,0.52953,0.65448,0.92161
8,0.57491,0.85781,0.94044,0.54531,0.68498,0.92283
9,0.57033,0.81199,0.93484,0.51412,0.62548,0.90663
10,0.5588,0.76231,0.92975,0.50857,0.5118,0.9055
11,0.55141,0.71569,0.9299,0.51435,0.54897,0.90843
12,0.55575,0.68901,0.92779,0.49995,0.50347,0.89994
13,0.54401,0.66086,0.92603,0.50601,0.49022,0.9103
14,0.53864,0.6287,0.9233,0.50765,0.4771,0.90234
15,0.53461,0.60886,0.91667,0.48744,0.43054,0.88793
16,0.52923,0.5897,0.9193,0.48168,0.44872,0.88796
17,0.52197,0.57015,0.9151,0.48265,0.42805,0.8951
18,0.52138,0.5529,0.91248,0.47792,0.41411,0.88847
19,0.51442,0.53221,0.91233,0.47836,0.423,0.88654
20,0.51009,0.52493,0.90764,0.47304,0.47951,0.89078
21,0.51424,0.52125,0.91132,0.45695,0.3975,0.87718
22,0.50908,0.50261,0.90831,0.45819,0.39499,0.88764
23,0.49972,0.49565,0.90692,0.45649,0.38979,0.88557
24,0.50244,0.49139,0.90565,0.46967,0.40839,0.88987
25,0.50259,0.47776,0.90553,0.46302,0.42752,0.88181
26,0.49537,0.47007,0.90608,0.45168,0.38919,0.87289
27,0.48533,0.46171,0.90072,0.45856,0.38151,0.88615
28,0.49772,0.45922,0.90537,0.4448,0.35379,0.87106
29,0.48806,0.45132,0.90172,0.44491,0.36096,0.86845
30,0.48963,0.4422,0.90043,0.43776,0.36068,0.87352
31,0.48448,0.43885,0.90141,0.44941,0.36308,0.87601
32,0.48423,0.43345,0.89967,0.44841,0.36107,0.8802
33,0.4805,0.4271,0.8958,0.44379,0.3596,0.87448
34,0.47873,0.42904,0.89775,0.44165,0.34295,0.87236
35,0.47588,0.41931,0.89641,0.43913,0.36932,0.87023
36,0.47459,0.41411,0.89704,0.42322,0.35119,0.86542
37,0.47077,0.41355,0.89657,0.44024,0.34178,0.8761
38,0.4693,0.40579,0.89322,0.44018,0.33845,0.87351
39,0.47123,0.40466,0.89257,0.43634,0.33508,0.87233
40,0.46558,0.40266,0.89151,0.42732,0.34375,0.86982
41,0.46765,0.39841,0.89158,0.44094,0.33436,0.87518
42,0.46711,0.39619,0.89352,0.42407,0.32283,0.87141
43,0.46598,0.39228,0.8921,0.43349,0.34022,0.87311
44,0.46033,0.38674,0.88945,0.42195,0.32816,0.86979
45,0.45408,0.38148,0.88649,0.42453,0.32168,0.86701
46,0.46224,0.38669,0.89105,0.41915,0.33286,0.86377
47,0.44901,0.37741,0.88663,0.41786,0.3133,0.86342
48,0.45432,0.37756,0.88905,0.4251,0.31911,0.87266
49,0.44968,0.37269,0.88848,0.42483,0.32062,0.8758
50,0.45587,0.37372,0.88616,0.41132,0.30837,0.86619
51,0.44791,0.3684,0.88623,0.41263,0.30405,0.8694
52,0.44521,0.36195,0.88425,0.41774,0.30653,0.86757
53,0.44764,0.36387,0.88411,0.41699,0.30973,0.86653
54,0.44259,0.36377,0.88297,0.419,0.30539,0.86991
55,0.44252,0.35876,0.8836,0.40723,0.29918,0.8634
56,0.44316,0.3576,0.88296,0.40462,0.30204,0.86292
57,0.4392,0.354,0.88064,0.40411,0.30131,0.86134
58,0.445,0.3576,0.88608,0.41256,0.30516,0.86854
59,0.43533,0.35107,0.88175,0.40614,0.29548,0.8617
60,0.42959,0.3444,0.87904,0.3977,0.29425,0.85548
61,0.43327,0.3462,0.88133,0.40356,0.29072,0.85964
62,0.43057,0.34189,0.88018,0.40438,0.28945,0.86903
63,0.43113,0.34043,0.87749,0.40964,0.28963,0.86611
64,0.42994,0.34147,0.87919,0.40077,0.28919,0.86415
65,0.43056,0.3383,0.87898,0.40227,0.29404,0.86041
66,0.42677,0.33917,0.87819,0.39987,0.29414,0.86022
67,0.42106,0.33054,0.8765,0.40223,0.29502,0.86288
68,0.4276,0.33698,0.87804,0.40166,0.29213,0.86363
69,0.41846,0.32704,0.87562,0.40659,0.29455,0.86753
70,0.42287,0.32931,0.87755,0.39741,0.28835,0.85822
